,lon,lat,value,radius
111701,121.566978,25.027103,3,27
111709,121.51417,25.054035,3,27
111741,121.55608600000001,25.024635999999997,2,9
111743,121.511351,25.060666,2,9
111753,121.59028899999998,25.064476000000003,2,9
111759,121.57563799999998,25.034618,2,9
111777,121.571707,25.045785000000002,2,9
111786,121.536426,25.010814,2,9
111806,121.51109699999999,25.066766,2,9
111836,121.53277,25.033499,3,27
111847,121.49938700000001,25.036671,3,27
111849,121.55604,25.027473,2,9
111855,121.563267,25.060922,2,9
111860,121.524521,25.079723,2,9
111866,121.522471,25.062901,2,9
111868,121.556478,25.026349,2,9
111875,121.5181,25.032792,2,9
111945,121.545327,25.044829999999997,2,9
111972,121.51495800000001,25.043447,2,9
111973,121.56261299999998,25.028522,2,9
111989,121.49269199999999,25.028156,2,9
111990,121.465511,25.118526,3,27
112005,121.55639199999999,25.027966,2,9
112013,121.52573899999999,25.040185,2,9
112017,121.518382,25.118704,2,9
112026,121.55316499999999,25.01876,3,27
112033,121.52298300000001,25.043669,2,9
112065,121.54329399999999,25.073892999999998,2,9
112077,121.52078600000002,25.063641,2,9
112095,121.56198700000002,25.037449,1,3
112120,121.507501,25.053735999999997,2,9
112123,121.531779,25.054737,1,3
112133,121.54458100000001,24.998513,2,9
112134,121.563193,24.984897,2,9
112140,121.521542,25.110149,2,9
112179,121.59711899999999,25.054289999999998,2,9
112190,121.56847900000001,25.080085,2,9
112220,121.501799,25.018838,3,27
112251,121.51527,25.057973999999998,1,3
112252,121.510888,25.068217,2,9
112266,121.53656200000002,25.062179,2,9
112272,121.56333899999998,25.062796,2,9
112274,121.58945600000001,25.068908999999998,2,9
112279,121.52054199999999,25.029745000000002,2,9
112291,121.58527099999999,25.052405,3,27
112302,121.52363400000002,25.052744,2,9
112311,121.532031,25.015031,2,9
112314,121.5405,25.054716,2,9
112319,121.54856399999998,25.030967,3,27
112326,121.574514,25.033478,2,9
112331,121.51764299999999,25.077787,2,9
112334,121.522368,25.058832000000002,2,9
112336,121.50777099999999,25.118084,2,9
112339,121.51769499999999,25.061569,2,9
112351,121.479849,25.122416,2,9
112359,121.58999399999999,25.081888,2,9
112379,121.50411799999999,25.029935000000002,2,9
112388,121.568046,25.035853,2,9
112390,121.523436,25.038621,1,3
112392,121.53085800000001,25.068403,2,9
112439,121.52745700000001,25.059762,2,9
112446,121.547997,24.999724,2,9
112522,121.565977,25.043484,1,3
112534,121.49932700000001,25.039382999999997,3,27
112548,121.54598600000001,24.986731,2,9
112558,121.51802099999999,25.044833999999998,2,9
112576,121.54239,24.990856,2,9
112580,121.53331000000001,25.045607999999998,2,9
112582,121.513749,25.038687,2,9
112588,121.529348,25.019414,2,9
112599,121.50931399999999,25.112473,2,9
112601,121.502234,25.11913,4,81
112607,121.521922,25.119222,2,9
112668,121.513254,25.118958,2,9
112695,121.530875,25.046151000000002,1,3
112718,121.532752,25.124854,2,9
112722,121.576008,25.049176,2,9
112725,121.502678,25.121399,2,9
112733,121.61402,25.055328,2,9
112743,121.54898700000001,25.028054,2,9
112758,121.526753,25.031702,2,9
112765,121.566948,25.086403,2,9
112770,121.523222,25.044359,2,9
112775,121.521082,25.117192000000003,2,9
112777,121.54862,25.080178,1,3
112778,121.525319,25.038791,2,9
112782,121.543644,25.039887,2,9
112784,121.56841200000001,25.041169,3,27
112791,121.529569,25.048239000000002,2,9
112796,121.528117,25.048341,2,9
112797,121.49608500000001,25.038807000000002,2,9
112809,121.516504,25.021873,2,9
112810,121.57399199999999,25.039596,2,9
112812,121.537093,25.054748999999997,1,3
112817,121.506046,25.040672,2,9
112828,121.52569199999999,25.051351,3,27
