,lon,lat,hurt,radius,color,group,type
7686,121.50713200000001,25.040678,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7687,121.52841799999999,25.054787,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7688,121.51548600000001,25.029689,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7689,121.59331200000001,25.054579999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7690,121.51503000000001,25.068916,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7691,121.543001,25.044007999999998,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7692,121.59504799999999,25.052482,1,1,#DDD23B,其他路段,自用-小貨車;普通重型-機車
7693,121.51616100000001,25.038567,3,5,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7694,121.54498500000001,25.061767,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車;普通重型-機車
7695,121.553353,25.048714999999998,1,1,#DDD23B,八德路3、4段,普通輕型-機車;自用-小客車
7696,121.58441200000001,25.049059,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7697,121.516029,25.028673,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7698,121.52553799999998,25.065245,1,1,#DDD23B,其他路段,自用-小客車;普通輕型-機車
7699,121.543876,25.036366,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車;普通輕型-機車;其他車-其他車
7700,121.52502199999999,25.10256,1,1,#DDD23B,其他路段,普通輕型-機車
7701,121.544738,25.058173999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7702,121.51548000000001,25.090881,3,5,#DDD23B,其他路段,普通重型-機車;腳踏自行車-慢車;普通重型-機車
7703,121.503424,25.046167999999998,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7704,121.56098600000001,25.084660999999997,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7705,121.54764499999999,25.051282999999998,1,1,#DDD23B,南京東西路,租賃車-小客車;普通輕型-機車
7706,121.539879,25.025554,1,1,#DDD23B,和平東路1、2、3段,計程車-小客車;普通重型-機車
7707,121.56288,25.027870999999998,6,25,#E98B2A,其他路段,普通重型-機車;普通重型-機車;普通重型-機車;行人-人;行人-人;行人-人
7708,121.511572,25.058453,1,1,#DDD23B,其他路段,自用-小客車;普通輕型-機車
7709,121.533002,25.120148999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
