Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,Team
DewayneDedmon,Jaylen Adams,2,7,22,0.6,0.75,1.65,0.36,ATL
JaylenAdams,Alex Poythress,1,4.15,25,0.3,0.3,1.35,0.3645,ATL
AlexPoythress,Kevin Huerter,2,7.4,20,0.4,0.55,1.85,0.388,ATL
B.J.Johnson,Vince Carter,1,5.45,42,0.2,0.45,0.55,0.4445,ATL
TraeYoung,Alex Poythress,2,12.1,25,0.35,0.55,4.45,0.3575,ATL
B.J.Johnson,Kent Bazemore,1,7.55,29,0.3,0.8,1.15,0.41,ATL
TylerDorsey,Omari Spellman,2,4.6,21,0.25,0.45,0.8,0.3,ATL
AlexPoythress,Kent Bazemore,1,8.35,29,0.55,0.75,1.55,0.3555,ATL
DewayneDedmon,Omari Spellman,1,8.35,21,0.8,0.85,1.2,0.363,ATL
TylerDorsey,Vince Carter,2,5.35,42,0.2,0.45,0.85,0.3225,ATL
TylerDorsey,Jevon Carter,2,7.1,23,0.15,0.5,1.85,0.3495,ATL
JeremyLin,Tyler Dorsey,1,7.9,22,0.1,0.45,2.15,0.3135,ATL
JeremyLin,Tyler Dorsey,1,7,22,0.05,0.5,2.05,0.2945,ATL
VinceCarter,Miles Plumlee,1,5.9,30,0.3,0.45,1,,ATL
JeremyLin,Ryan Anderson,1,6.05,30,0.1,0.4,1.95,0.2595,ATL
JeremyLin,Justin Anderson,1,7.2,25,0.2,0.6,2,0.3225,ATL
KevinHuerter,Daniel Hamilton,1,6.35,23,0.2,0.6,2.05,0.3665,ATL
JustinAnderson,Jaylen Adams,1,3.45,22,0.2,0.45,1.2,0.325,ATL
JustinAnderson,Tyler Dorsey,1,3.5,22,0.15,0.4,0.55,0.284,ATL
JaylenAdams,Justin Anderson,1,3.45,25,0.2,0.45,1.2,0.325,ATL
DanielHamilton,John Collins,2,11.25,21,0.35,0.35,1.6,0.348,ATL
TylerDorsey,Miles Plumlee,1,3.85,30,0.1,0.3,0.75,,ATL
DanielHamilton,Trae Young,2,11.05,20,0.15,0.6,4.65,0.336,ATL
DanielHamilton,Jaylen Adams,1,3.1,22,0.1,0.35,1.55,0.343,ATL
TylerDorsey,Ryan Anderson,1,4.35,30,0,0.25,1,0.279,ATL
TylerDorsey,Justin Anderson,1,3.5,25,0.15,0.4,0.55,0.284,ATL
TylerDorsey,Kyle Anderson,1,8.9,25,0.45,0.8,2.45,0.3155,ATL
TylerDorsey,Daniel Hamilton,1,3.15,23,0.05,0.3,0.9,0.302,ATL
AlHorford,Marcus Smart,67,11.25,24,0.85,1.35,4.1,0.362,BOS
