Team,Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,alt
MIL,Eric Bledsoe,Tim Frazier,2,11.1,28,0.25,0.95,4.5,0.373,EricBledsoe
MIL,George Hill,Tim Frazier,2,6.45,28,0.1,0.7,3.25,0.34,GeorgeHill
MIL,George Hill,Tim Frazier,2,6.55,28,0.1,0.65,2.8,0.3485,GeorgeHill
MIL,D.J. Wilson,Tim Frazier,6,6.05,28,0.25,0.4,2.3,0.3895,D.J.Wilson
MIL,Pat Connaughton,D.J. Wilson,4,6.35,22,0.4,0.45,1.55,0.346,PatConnaughton
MIL,Pat Connaughton,Tim Frazier,9,6.6,28,0.25,0.45,2.75,0.3735,PatConnaughton
MIL,Brook Lopez,Tim Frazier,3,9.4,28,1.15,0.5,2.35,0.391,BrookLopez
MIL,Bonzie Colson,Tim Frazier,7,5.6,28,0.1,0.5,1.95,0.3275,BonzieColson
MIL,Ersan İlyasova,Tim Frazier,4,6.55,28,0.2,0.45,2.15,0.39,Ersanİlyasova
MIL,Tim Frazier,Eric Bledsoe,1,11.1,29,0.25,0.95,4.5,0.373,TimFrazier
MIL,Giannis Antetokounmpo,Tim Frazier,2,17,28,0.8,0.85,4.7,0.3365,GiannisAntetokounmpo
MIL,Pat Connaughton,Sterling Brown,6,6.65,23,0.25,0.45,1.7,0.3455,PatConnaughton
MIL,Tim Frazier,Brook Lopez,3,9.4,30,1.15,0.5,2.35,0.391,TimFrazier
MIL,George Hill,Eric Bledsoe,3,11.35,29,0.25,1.2,3.8,0.3045,GeorgeHill
MIL,Ersan İlyasova,D.J. Wilson,2,6.3,22,0.35,0.45,0.95,0.3625,Ersanİlyasova
MIL,D.J. Wilson,Pat Connaughton,6,6.35,26,0.4,0.45,1.55,0.346,D.J.Wilson
MIL,Ersan İlyasova,Nikola Mirotić,2,9.2,27,0.45,0.6,1.1,0.3595,Ersanİlyasova
MIL,Bonzie Colson,Brook Lopez,1,8.7,30,1.15,0.6,0.8,0.3015,BonzieColson
MIL,George Hill,Bonzie Colson,2,5.85,23,0.1,0.75,1.25,0.259,GeorgeHill
MIL,Brook Lopez,D.J. Wilson,2,9.15,22,1.3,0.5,1.15,0.3635,BrookLopez
MIL,George Hill,Tony Snell,4,6.4,27,0.15,0.65,1.5,0.3385,GeorgeHill
MIL,George Hill,D.J. Wilson,5,6.3,22,0.25,0.65,1.6,0.321,GeorgeHill
MIL,D.J. Wilson,Tony Snell,2,5.9,27,0.3,0.4,1,0.3795,D.J.Wilson
MIL,Nikola Mirotić,Pat Connaughton,2,9.25,26,0.5,0.6,1.7,0.343,NikolaMirotić
MIL,D.J. Wilson,Isaiah Canaan,1,3.65,27,0.35,0.2,0.95,0.381,D.J.Wilson
MIL,Christian Wood,Isaiah Canaan,1,7.1,27,0.3,0.4,1.6,0.35,ChristianWood
MIL,Christian Wood,Isaiah Canaan,1,2.15,27,0.15,0,0.5,0.5,ChristianWood
MIL,Nikola Mirotić,Malcolm Brogdon,5,13.6,26,0.4,0.7,2.3,0.391,NikolaMirotić
MIL,Khris Middleton,Nikola Mirotić,4,14.95,27,0.35,0.85,2.85,0.367,KhrisMiddleton
MIL,Eric Bledsoe,Nikola Mirotić,2,13.75,27,0.5,1.1,3.45,0.3425,EricBledsoe
MIL,Malcolm Brogdon,Nikola Mirotić,2,13.6,27,0.4,0.7,2.3,0.391,MalcolmBrogdon
MIL,Ersan İlyasova,Trevon Duval,1,4.25,20,0.15,0.25,0.75,0.6815,Ersanİlyasova
MIL,Sterling Brown,Tony Snell,2,6.2,27,0.15,0.4,1.15,0.379,SterlingBrown
MIL,Eric Bledsoe,Thon Maker,3,10.3,21,0.45,0.9,3,0.331,EricBledsoe
MIL,Sterling Brown,Matthew Dellavedova,2,4.05,28,0.05,0.3,1.9,0.3625,SterlingBrown
MIL,Giannis Antetokounmpo,Matthew Dellavedova,3,14.7,28,0.75,0.75,4.15,0.31,GiannisAntetokounmpo
MIL,Christian Wood,Markieff Morris,2,8.8,29,0.45,0.45,0.9,0.3405,ChristianWood
MIL,Christian Wood,Jaylen Morris,2,2.65,23,0,0.25,0.6,0.4665,ChristianWood
MIL,D.J. Wilson,Matthew Dellavedova,2,3.75,28,0.2,0.3,1.75,0.363,D.J.Wilson
MIL,Malcolm Brogdon,Matthew Dellavedova,2,8.65,28,0.1,0.45,2.8,0.395,MalcolmBrogdon
MIL,Khris Middleton,Thon Maker,1,11.5,21,0.3,0.65,2.4,0.3555,KhrisMiddleton
MIL,Pat Connaughton,Tony Snell,1,6.45,27,0.3,0.45,1.45,0.3635,PatConnaughton
MIL,Ersan İlyasova,Thon Maker,2,5.75,21,0.4,0.4,0.65,0.348,Ersanİlyasova
MIL,Giannis Antetokounmpo,Thon Maker,3,16.2,21,1,0.8,3.2,0.2945,GiannisAntetokounmpo
MIL,Giannis Antetokounmpo,Donte DiVincenzo,3,16.3,22,0.85,0.9,3.5,0.2605,GiannisAntetokounmpo
MIL,Matthew Dellavedova,Giannis Antetokounmpo,1,14.7,24,0.75,0.75,4.15,0.31,MatthewDellavedova
