,lon,lat,value,radius
227184,121.528517,25.109531,2,5
227205,121.563033,24.983727,2,5
227208,121.52138000000001,25.084726,2,5
227211,121.56146299999999,25.084569000000002,3,8
227222,121.509375,25.045167000000003,2,5
227230,121.523758,25.046156,3,8
227268,121.550467,25.018076999999998,3,8
227283,121.55928700000001,25.04963,2,5
227323,121.56583899999998,24.985024,2,5
227362,121.55782099999999,25.049799,2,5
227383,121.556839,25.104491,2,5
227449,121.502676,25.027954,2,5
227457,121.584865,25.052560999999997,2,5
227476,121.54941399999998,25.084011,3,8
227484,121.53951299999999,25.033418,3,8
227485,121.565451,25.033969,4,10
227494,121.517632,25.053328,1,2
227503,121.53804299999999,25.02553,2,5
227504,121.57680800000001,24.990622000000002,2,5
227563,121.52678799999998,25.014352,3,8
227585,121.55153999999999,25.001766,2,5
227590,121.52746,25.048512,2,5
227605,121.553532,25.025115,1,2
227613,121.571747,24.994615,2,5
227641,121.556723,25.028015,2,5
227643,121.584397,25.068762,2,5
227653,121.546003,25.000119,2,5
227674,121.54180600000001,25.051748999999997,3,8
227696,121.557626,25.041466,2,5
227726,121.61701799999999,25.037387,2,5
227746,121.575957,25.034645,2,5
227789,121.534374,25.044864999999998,2,5
227834,121.502765,25.132894,3,8
227846,121.536615,25.054779999999997,2,5
227852,121.552648,24.987039000000003,1,2
227865,121.52761699999999,25.062744,3,8
227904,121.53541399999999,25.000988,2,5
227947,121.527514,25.036167000000003,2,5
227948,121.48432,25.137795,3,8
227949,121.538409,25.007878,3,8
227966,121.55824299999999,25.025988,2,5
227968,121.470954,25.129406,2,5
227995,121.51146299999999,25.059243,2,5
227996,121.53831399999999,25.066012,2,5
228023,121.525393,25.053854,2,5
228025,121.52938400000001,25.064881,2,5
228051,121.54614199999999,25.135669,2,5
228073,121.541711,24.992957,3,8
228075,121.50666299999999,25.05003,2,5
228087,121.556494,25.044975,3,8
228114,121.495419,25.023692,2,5
228165,121.52426499999999,25.096386,2,5
228166,121.56445900000001,24.988559,2,5
228176,121.51744,25.025406,2,5
228179,121.526367,25.054894,3,8
228198,121.500854,25.041788,2,5
228214,121.573996,25.040371,2,5
228245,121.52261100000001,25.092257999999998,2,5
228246,121.51598100000001,25.062864,2,5
228247,121.522623,25.02698,2,5
228259,121.543319,24.992716,2,5
228265,121.58036299999999,25.001594,2,5
228267,121.48726699999999,25.035597,2,5
228300,121.52783000000001,25.060445,2,5
228303,121.513198,25.042341,3,8
228316,121.54414799999999,25.024767,2,5
228380,121.499443,25.141272,2,5
228398,121.531244,25.095845,3,8
228484,121.61098899999999,25.064879,2,5
228520,121.558865,24.992955,2,5
228525,121.54095600000001,24.99717,2,5
228527,121.55993500000001,25.025134,2,5
228552,121.61666899999999,25.055192,2,5
228554,121.514951,25.062874,2,5
228571,121.537525,25.011125,3,8
228572,121.615847,25.048673,3,8
228595,121.497449,25.039398000000002,3,8
228598,121.51206499999999,25.029032,2,5
228620,121.574308,25.032967000000003,2,5
228644,121.520803,25.114692,2,5
228660,121.563451,25.083160999999997,2,5
228667,121.50081599999999,25.041812,2,5
228677,121.523164,25.057938,2,5
228685,121.519492,25.116276,2,5
228696,121.507548,25.0316,2,5
228697,121.603577,25.061167,2,5
228730,121.536934,25.011303,2,5
228737,121.511995,25.049973,2,5
228739,121.503817,25.044238,2,5
228767,121.56378799999999,25.085506,2,5
228801,121.50466899999999,25.037817999999998,2,5
228878,121.510925,25.07137,4,10
228898,121.51759799999999,25.083847,2,5
228908,121.53343000000001,25.062625,2,5
228919,121.56050400000001,25.01636,2,5
228920,121.524323,25.079544,2,5
228971,121.54786899999999,24.99774,2,5
228978,121.544294,25.078043,2,5
228991,121.543329,25.022015,3,8
229005,121.513429,25.057006,2,5
229022,121.544246,25.07645,2,5
229033,121.61660900000001,25.069951,2,5
229037,121.50703899999999,25.046566000000002,2,5
229057,121.505031,25.138476999999998,2,5
229071,121.522795,25.100518,2,5
229074,121.572957,25.038992999999998,3,8
229097,121.509997,25.035713,3,8
229122,121.531521,25.052616,2,5
229138,121.57601100000001,24.999941,4,10
229139,121.592193,24.999294,2,5
229153,121.49966299999998,25.130229,4,10
229181,121.50936100000001,25.059428,3,8
