road,hour,avgSpd
和平東路,14,38.291563
和平東路,13,40.7585951836735
基隆路,12,50.0333291020408
基隆路,11,49.8795168979592
基隆路,10,51.9422615306123
基隆路,9,50.7211834285714
基隆路,8,49.1453211190476
基隆路,7,55.0839581428572
基隆路,6,56.9970561632653
基隆路,5,58.2522428979592
基隆路,4,52.6271771428571
基隆路,3,46.0940167755102
基隆路,2,50.8527641632653
基隆路,1,49.4521600816327
基隆路,0,47.7213537959184
基隆路,23,51.5445331428571
基隆路,22,53.7534500816327
基隆路,21,53.2829422040816
基隆路,20,52.1794888571429
基隆路,19,48.0255495510204
基隆路,18,44.3887406530612
基隆路,17,46.7760742040816
基隆路,16,48.4362014489796
基隆路,15,48.8192970612245
基隆路,14,48.8913549591837
基隆路,13,51.2532808979592
塔悠路,12,43.871662952381
塔悠路,11,44.8576860952381
塔悠路,10,44.6909223333333
塔悠路,9,44.3348775714286
塔悠路,8,44.0231033888889
塔悠路,7,45.176039047619
塔悠路,6,43.033121952381
塔悠路,5,44.1765890476191
塔悠路,4,44.3848447619048
塔悠路,3,44.4679894285714
塔悠路,2,42.1364775714286
塔悠路,1,45.4650037142857
塔悠路,0,45.410838
塔悠路,23,45.2878822380952
塔悠路,22,45.7347496666667
塔悠路,21,44.3477496666667
塔悠路,20,42.2784625714286
塔悠路,19,43.3354366666667
塔悠路,18,43.6825157142857
塔悠路,17,43.463792
塔悠路,16,42.1555294761905
塔悠路,15,43.2391679047619
塔悠路,14,42.6933589047619
塔悠路,13,43.1105143333333
建國北路,12,32.8623640714286
建國北路,11,32.0589399142857
建國北路,10,33.7986657714286
建國北路,9,34.4009056
建國北路,8,33.8185774166667
建國北路,7,37.3405109285714
建國北路,6,36.6092512714286
建國北路,5,36.7139835428571
建國北路,4,36.3410164571429
建國北路,3,35.9005778142857
建國北路,2,37.8045996142857
建國北路,1,37.3524997428571
建國北路,0,35.6430134142857
建國北路,23,35.4860147285714
建國北路,22,35.9076214
建國北路,21,34.3997582571429
建國北路,20,34.1086480428571
建國北路,19,31.9144725142857
建國北路,18,29.5588343
建國北路,17,32.1714176714286
建國北路,16,32.1162246571428
建國北路,15,31.6692307214286
建國北路,14,32.0888935285714
建國北路,13,31.1513083
忠孝東路,12,40.188695531746
忠孝東路,11,41.2145059761905
忠孝東路,10,41.5004680238095
忠孝東路,9,42.363169015873
忠孝東路,8,42.4914031296296
忠孝東路,7,46.2468668809524
忠孝東路,6,49.806480420635
忠孝東路,5,51.7907211190476
忠孝東路,4,46.8323685873016
忠孝東路,3,47.9293836984127
忠孝東路,2,48.0828479761905
忠孝東路,1,47.4927836111111
忠孝東路,0,49.1824561904762
