road,hour,avgVol
杭州南路,1,2.76190476190476
杭州南路,0,3.83333333333333
杭州南路,23,5.92857142857143
杭州南路,22,14.5
杭州南路,21,18.4285714285714
杭州南路,20,22.5714285714286
杭州南路,19,27.3095238095238
杭州南路,18,37.3809523809524
杭州南路,17,41.5476190476191
杭州南路,16,35.1190476190476
杭州南路,15,32.7619047619048
杭州南路,14,34.9047619047619
杭州南路,13,37.3333333333333
民族東路,12,56.9047619047619
民族東路,11,56.9047619047619
民族東路,10,55.1071428571429
民族東路,9,57.452380952381
民族東路,8,86.3055555555556
民族東路,7,46.7976190476191
民族東路,6,18.797619047619
民族東路,5,9.23809523809524
民族東路,4,5.78571428571429
民族東路,3,5.70238095238095
民族東路,2,7.23809523809524
民族東路,1,7.5
民族東路,0,13.547619047619
民族東路,23,19.5952380952381
民族東路,22,31.4285714285714
民族東路,21,37.702380952381
民族東路,20,39.2976190476191
民族東路,19,58.5952380952381
民族東路,18,68.3809523809524
民族東路,17,66.9047619047619
民族東路,16,57.6190476190476
民族東路,15,56.2738095238095
民族東路,14,52.3095238095238
民族東路,13,53.1904761904762
民權東路,12,69.9464285714286
民權東路,11,71.65625
民權東路,10,72.3214285714286
民權東路,9,73.5558035714286
民權東路,8,94.0078125
民權東路,7,61.3035714285714
民權東路,6,30.0892857142857
民權東路,5,14.3303571428571
民權東路,4,6.89285714285714
民權東路,3,8.26339285714286
民權東路,2,9.80803571428571
民權東路,1,13.8571428571429
民權東路,0,23.0178571428571
民權東路,23,34.5848214285714
民權東路,22,52.4285714285714
民權東路,21,60.7410714285714
民權東路,20,61.5982142857143
民權東路,19,76.6383928571429
民權東路,18,85.5625
民權東路,17,78.21875
民權東路,16,70.6116071428571
民權東路,15,70.1339285714286
民權東路,14,66.9441964285714
民權東路,13,68.3415178571429
民權西路,12,139.071428571429
民權西路,11,149.660714285714
民權西路,10,108.142857142857
民權西路,9,155.928571428571
民權西路,8,104
民權西路,7,132
民權西路,6,101.714285714286
民權西路,5,48.7857142857143
民權西路,4,23
民權西路,3,25.4285714285714
民權西路,2,26.9285714285714
民權西路,1,39.2142857142857
民權西路,0,37.5
民權西路,23,74.3571428571429
民權西路,22,89.1428571428572
民權西路,21,87.7857142857143
民權西路,20,96.3571428571429
民權西路,19,116.785714285714
民權西路,18,110.928571428571
民權西路,17,129.5
民權西路,16,98.2857142857143
民權西路,15,98.4285714285714
民權西路,14,105.357142857143
民權西路,13,140.928571428571
羅斯福路,12,48.2029220779221
羅斯福路,11,47.2532467532468
羅斯福路,10,45.0762987012987
羅斯福路,9,50.4545454545455
羅斯福路,8,66.8181818181818
羅斯福路,7,43
羅斯福路,6,14.1168831168831
羅斯福路,5,5.16883116883117
羅斯福路,4,3.78571428571429
羅斯福路,3,4.81168831168831
羅斯福路,2,6.28571428571429
羅斯福路,1,8.06493506493507
羅斯福路,0,11.2987012987013
羅斯福路,23,19.2272727272727
羅斯福路,22,33.0974025974026
羅斯福路,21,42.0584415584416
羅斯福路,20,40.1753246753247
羅斯福路,19,48.525974025974
羅斯福路,18,57.9415584415585
羅斯福路,17,56.1948051948052
羅斯福路,16,46.1477272727273
羅斯福路,15,43.9464285714286
羅斯福路,14,44.2548701298701
羅斯福路,13,46.012987012987
至善路,12,24.0816326530612
至善路,11,25.530612244898
至善路,10,27.4081632653061
至善路,9,28.5102040816327
至善路,8,26.9642857142857
至善路,7,27.8571428571429
至善路,6,9.80612244897959
至善路,5,4.66326530612245
至善路,4,1.42857142857143
至善路,3,1.6734693877551
至善路,2,1.38775510204082
至善路,1,2.6734693877551
至善路,0,3.69387755102041
至善路,23,6.48979591836735
至善路,22,11.3367346938776
至善路,21,14.6530612244898
至善路,20,14.9285714285714
至善路,19,18.5408163265306
至善路,18,24.1836734693878
至善路,17,26.0714285714286
至善路,16,27.8571428571429
至善路,15,22.0510204081633
至善路,14,26.030612244898
至善路,13,22.1224489795918
興隆路,12,14.0357142857143
興隆路,11,18.3214285714286
興隆路,10,16.0357142857143
興隆路,9,16.4285714285714
興隆路,8,23.0416666666667
興隆路,7,13.7857142857143
