,lon,lat,value,radius,color
5272,121.517298,25.048432000000002,3,3,#DDD23B
5280,121.49568500000001,25.028676,2,1,#DDD23B
5290,121.520131,25.093343,3,3,#DDD23B
5299,121.500662,25.039479999999998,2,1,#DDD23B
5349,121.55301299999999,25.01377,2,1,#DDD23B
5352,121.528232,25.038145,2,1,#DDD23B
5367,121.51346699999999,25.117843,2,1,#DDD23B
5388,121.50076299999999,25.093261,2,1,#DDD23B
5412,121.556855,25.025523,2,1,#DDD23B
5417,121.59780400000001,25.066109,2,1,#DDD23B
5453,121.559225,25.028213,4,5,#DDD23B
5460,121.576949,25.075101999999998,3,3,#DDD23B
5468,121.518775,25.10928,2,1,#DDD23B
5493,121.552779,25.04901,3,3,#DDD23B
5615,121.47501399999999,25.132917000000003,2,1,#DDD23B
5619,121.57103899999998,24.991721,2,1,#DDD23B
5683,121.55611100000002,25.054318,3,3,#DDD23B
5695,121.511224,25.069275,2,1,#DDD23B
5701,121.52468600000002,25.062309,3,3,#DDD23B
5719,121.527654,25.090547,3,3,#DDD23B
5757,121.518473,25.068537,3,3,#DDD23B
5837,121.527602,25.036444,2,1,#DDD23B
5849,121.50928,25.086573,2,1,#DDD23B
5870,121.52903400000001,25.062412,2,1,#DDD23B
5879,121.55226200000001,25.000501,7,25,#E98B2A
5895,121.544706,25.062247,3,3,#DDD23B
5900,121.507501,25.053735999999997,3,3,#DDD23B
5929,121.53975200000001,24.999523999999997,2,1,#DDD23B
5951,121.520509,25.048001,2,1,#DDD23B
5984,121.5065,25.02608,2,1,#DDD23B
6002,121.565524,25.048977,2,1,#DDD23B
6014,121.6064,25.053182999999997,2,1,#DDD23B
6029,121.50124,25.035262,3,3,#DDD23B
6107,121.54609599999999,25.018498,2,1,#DDD23B
6115,121.506518,25.028508,3,3,#DDD23B
6123,121.499827,25.120936,1,1,#DDD23B
6127,121.56773799999999,25.065313,3,3,#DDD23B
6131,121.571793,25.064521,2,1,#DDD23B
6137,121.535114,25.101378,3,3,#DDD23B
6167,121.543957,25.050632999999998,2,1,#DDD23B
6170,121.541246,25.07199,2,1,#DDD23B
6179,121.549632,25.038043,2,1,#DDD23B
6186,121.555536,25.023239,1,1,#DDD23B
6215,121.55958799999999,24.977263,1,1,#DDD23B
6234,121.61421200000001,25.060861,2,1,#DDD23B
6262,121.508021,25.037048000000002,2,1,#DDD23B
6300,121.57841599999999,25.036068,2,1,#DDD23B
6305,121.549833,25.080029999999997,2,1,#DDD23B
6324,121.5171,25.050867,2,1,#DDD23B
6356,121.549173,25.055766000000002,2,1,#DDD23B
6359,121.534802,25.045051,2,1,#DDD23B
6374,121.569829,24.984413,2,1,#DDD23B
6378,121.53326000000001,25.040483,2,1,#DDD23B
6380,121.528671,25.110284,2,1,#DDD23B
6400,121.5334,25.061191,2,1,#DDD23B
6405,121.524323,25.079849,2,1,#DDD23B
6442,121.56920900000001,24.991979,3,3,#DDD23B
6443,121.55776999999999,25.041341,2,1,#DDD23B
6444,121.574583,25.040855,2,1,#DDD23B
6458,121.531155,25.112367000000003,2,1,#DDD23B
6467,121.58466999999999,25.046732000000002,2,1,#DDD23B
6509,121.523255,25.037886999999998,2,1,#DDD23B
6532,121.568401,25.039109,3,3,#DDD23B
6549,121.559273,25.062406,2,1,#DDD23B
6582,121.56691200000002,25.053369,2,1,#DDD23B
6632,121.515049,25.048267000000003,2,1,#DDD23B
6665,121.52530700000001,25.108719,2,1,#DDD23B
6672,121.556124,25.025571,3,3,#DDD23B
6702,121.580114,25.048505,2,1,#DDD23B
6711,121.548032,24.987082,2,1,#DDD23B
6728,121.52113100000001,25.052578,2,1,#DDD23B
6729,121.53496299999999,25.062551000000003,2,1,#DDD23B
6730,121.51725800000001,25.039151999999998,2,1,#DDD23B
6744,121.514821,25.027663,3,3,#DDD23B
6751,121.50821100000002,25.050614000000003,3,3,#DDD23B
6775,121.56623400000001,24.966275,2,1,#DDD23B
6787,121.571572,24.994022,3,3,#DDD23B
6801,121.52008799999999,25.093304999999997,2,1,#DDD23B
6830,121.53041999999999,25.066274,2,1,#DDD23B
6845,121.592441,25.054265,3,3,#DDD23B
6850,121.59490500000001,25.050601,2,1,#DDD23B
6852,121.534802,25.045051,3,3,#DDD23B
